# schema=mevix.mev-1253.lock-pairs.v1
# candidate_commit=786f9ada1889afc92aa3f7d6fefcd0022eec4fa4
# candidate_tree=9c0276f17b64e0a3b021df16ca5985acf7695105
# lock_sha256=058e79648f2a43f0d328d453a987fdde5044d943af11ad4898801b379760a943
name	version	scope	direct
micromark-util-symbol	2.0.1	prod	-
micromark-util-types	2.0.2	prod	-
minimatch	10.2.6	dev	-
minipass	7.1.3	dev	-
ms	2.1.3	prod	-
nanoid	3.3.19	dev	-
object-assign	4.1.1	prod	-
object-inspect	1.13.4	dev	-
object-is	1.1.6	dev	-
object-keys	1.1.1	dev	-
object.assign	4.1.7	dev	-
parse-entities	4.0.2	prod	-
parse5	7.3.0	prod	-
path	0.12.7	dev	-
path-scurry	2.0.2	dev	-
path-unified	0.2.0	dev	-
picocolors	1.1.1	dev	-
picomatch	4.0.7	dev	-
playwright-core	1.63.0	dev	dev
possible-typed-array-names	1.1.0	dev	-
postcss	8.5.28	dev	-
postcss	8.5.6	dev	dev
postcss-value-parser	4.2.0	dev	dev
prettier	3.9.8	dev	-
prismjs	1.30.0	prod	-
process	0.11.10	dev	-
prop-types	15.8.1	prod	-
property-information	7.2.0	prod	-
punycode	1.4.1	dev	-
qs	6.16.0	dev	-
radix-ui	1.6.7	prod	-
react	19.0.0	prod	prod
react-dom	19.0.0	prod	prod
react-is	16.13.1	prod	-
react-is	18.3.1	prod	-
react-markdown	9.1.0	prod	-
react-merge-refs	2.1.1	prod	-
react-remove-scroll	2.7.2	prod	-
react-remove-scroll-bar	2.3.8	prod	-
react-style-singleton	2.2.3	prod	-
react-syntax-highlighter	16.1.1	prod	-
refractor	5.0.0	prod	-
rehype-katex	7.0.1	prod	-
remark-breaks	4.0.0	prod	-
remark-directive	3.0.1	prod	-
remark-gfm	4.0.1	prod	-
remark-math	6.0.0	prod	-
remark-parse	11.0.0	prod	-
remark-rehype	11.1.2	prod	-
remark-stringify	11.0.0	prod	-
rolldown	1.2.9	dev	-
safe-buffer	5.2.1	dev	-
safe-regex-test	1.1.0	dev	-
scheduler	0.25.0	prod	-
set-function-length	1.2.2	dev	-
side-channel	1.1.1	dev	-
side-channel-list	1.0.1	dev	-
side-channel-map	1.0.1	dev	-
side-channel-weakmap	1.0.2	dev	-
source-map-js	1.2.1	dev	-
space-separated-tokens	2.0.2	prod	-
stream	0.0.3	dev	-
string_decoder	1.3.0	dev	-
stringify-entities	4.0.4	prod	-
style-dictionary	5.5.0	dev	dev
style-to-js	1.1.21	prod	-
style-to-object	1.0.14	prod	-
tailwindcss	4.0.10	prod	prod
tapable	2.3.3	dev	-
thingies	2.6.1	dev	-
tinycolor2	1.6.0	dev	-
tinyglobby	0.2.17	dev	-
tree-dump	1.1.0	dev	-
trim-lines	3.0.1	prod	-
trough	2.2.0	prod	-
tslib	2.8.1	prod	-
typescript	5.8.3	dev	dev
unified	11.0.5	prod	-
unist-util-find-after	5.0.0	prod	-
